date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-08-01,2021,circuito-de-getxo,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,5.0
2021-02-14,2021,clasica-de-almeria,gc,EOLO-Kometa,1.Pro,,,1,,0.0,,,5.0
2021-10-11,2021,coppa-agostoni,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,56.0
2021-10-04,2021,coppa-bernocchi,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,25.0
2021-05-08,2021,giro-d-italia,gc,EOLO-Kometa,2.UWT,,0,0,,96.0,0.0,0.0,236.0
2021-05-08,2021,giro-d-italia,kom,EOLO-Kometa,2.UWT,,0,0,,96.0,0.0,0.0,236.0
2021-05-08,2021,giro-d-italia,points,EOLO-Kometa,2.UWT,,0,0,,96.0,0.0,0.0,236.0
2021-07-04,2021,giro-del-medio-brenta,gc,EOLO-Kometa,1.2,,0,0,,0.0,,,0.0
2021-10-13,2021,giro-del-veneto,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,40.0
2021-06-24,2021,giro-dell-appennino,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,25.0
2021-10-02,2021,giro-dell-emilia,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,0.0
2021-09-28,2021,giro-di-sicilia,gc,EOLO-Kometa,2.1,,0,0,,30.0,,,35.0
2021-09-15,2021,giro-di-toscana,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,6.0
2021-09-16,2021,gp-citta-di-peccioli,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,15.0
2021-01-24,2021,gp-de-valence,gc,EOLO-Kometa,1.2,,0,0,,0.0,,,10.0
2021-03-07,2021,gp-industria-artigianato,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,8.0
2021-06-27,2021,gp-lugano,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,13.0
2021-10-07,2021,gran-piemonte,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,0.0
2021-04-03,2021,gran-premio-miguel-indurain,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,0.0
2021-10-09,2021,il-lombardia,gc,EOLO-Kometa,1.UWT,,0,0,,0.0,,,35.0
2021-09-18,2021,memorial-marco-pantani,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,91.0
2021-10-06,2021,milano-torino,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,3.0
2021-10-14,2021,nc-great-britain-itt,gc,EOLO-Kometa,NC,,,1,,0.0,,,10.0
2021-06-20,2021,nc-hungary,gc,EOLO-Kometa,NC,,0,0,,0.0,,,0.0
2021-06-17,2021,nc-hungary-itt,gc,EOLO-Kometa,NC,,0,0,,0.0,,,53.0
2021-06-20,2021,nc-italy,gc,EOLO-Kometa,NC,,0,0,,0.0,,,0.0
2021-06-18,2021,nc-italy-itt,gc,EOLO-Kometa,NC,,0,0,,0.0,,,6.0
2021-06-20,2021,nc-spain,gc,EOLO-Kometa,NC,,0,0,,0.0,,,0.0
2021-10-17,2021,ncgreat-britain,gc,EOLO-Kometa,NC,,,1,,0.0,,,0.0
2021-03-21,2021,per-sempre-alfredo,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,0.0
2021-07-25,2021,prueba-villafranca,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,10.0
2021-07-14,2021,settimana-ciclistica-italiana,gc,EOLO-Kometa,2.1,,0,0,,0.0,,,0.0
2021-03-06,2021,strade-bianche,gc,EOLO-Kometa,1.UWT,,0,0,,0.0,,,0.0
2021-03-10,2021,tirreno-adriatico,gc,EOLO-Kometa,2.UWT,148.0,0.0,1,,0.0,,,0.0
2021-05-12,2021,tour-de-hongrie,gc,EOLO-Kometa,2.1,,0,0,,3.0,,,3.0
2021-07-29,2021,tour-de-l-ain,gc,EOLO-Kometa,2.1,,0,0,,0.0,,,0.0
2021-08-17,2021,tour-du-limousin,gc,EOLO-Kometa,2.1,,0,0,,20.0,,,42.0
2021-08-24,2021,tour-du-poitou-charentes-et-de-la-vienne,gc,EOLO-Kometa,2.1,91.0,0.0,1,,5.0,,,10.0
2021-04-19,2021,tour-of-the-alps,gc,EOLO-Kometa,2.Pro,,0,0,,5.0,,,5.0
2021-04-11,2021,tour-of-turkey,gc,EOLO-Kometa,2.Pro,,0,0,,8.0,,,8.0
2021-10-05,2021,tre-valli-varesine,gc,EOLO-Kometa,1.Pro,,0,0,,0.0,,,10.0
2021-03-03,2021,trofeo-laigueglia,gc,EOLO-Kometa,1.Pro,,,1,,0.0,,,0.0
2021-09-19,2021,trofeo-matteotti,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,30.0
2021-10-17,2021,veneto-classic,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,18.0
2021-08-03,2021,vuelta-a-burgos,gc,EOLO-Kometa,2.Pro,,0,0,,3.0,,,13.0
2021-07-29,2021,vuelta-a-castilla-y-leon,gc,EOLO-Kometa,1.1,,0,0,,0.0,,,3.0
2021-04-30,2021,vuelta-asturias,gc,EOLO-Kometa,2.1,71.0,0.0,1,,5.0,,,5.0
2022-08-07,2022,commonwealth-games,gc,Scotland,JR,,,1,,0.0,,,0.0
2022-08-04,2022,commonwealth-games-itt2,gc,Scotland,JR,,,1,,0.0,,,0.0
2024-06-19,2024,nc-great-britain-itt,gc,Huub Wattshop,NC,,,1,,0.0,,,0.0
