date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-11,2017,ronde-van-drenthe,gc,Destil - Jo Piels Cycling Team,1.1,,,1,,0.0,,,45.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Destil - Jo Piels Cycling Team,2.2,36.0,0.0,1,,0.0,,,0.0
2017-05-14,2017,ronde-van-noord-holland,gc,Destil - Jo Piels Cycling Team,1.2,,,1,,0.0,,,50.0
2017-05-06,2017,ronde-van-overijssel,gc,Destil - Jo Piels Cycling Team,1.2,,,1,,0.0,,,0.0
2017-07-02,2017,slag-om-norg,gc,Destil - Jo Piels Cycling Team,1.1,,0,0,,0.0,,,65.0
2017-10-14,2017,tacx-pro-classic,gc,Destil - Jo Piels Cycling Team,1.1,,0,0,,0.0,,,3.0
2017-10-01,2017,tobago-cycling-classic,gc,Destil - Jo Piels Cycling Team,1.2,,0,0,,0.0,,,40.0
2017-04-12,2017,tour-du-loir-et-cher,gc,Destil - Jo Piels Cycling Team,2.2,27.0,0.0,1,,5.0,,,9.0
2017-08-18,2017,veenendaal-veenendaal,gc,Destil - Jo Piels Cycling Team,1.1,,,1,,0.0,,,0.0
2017-04-01,2017,volta-nxt-classic,gc,Destil - Jo Piels Cycling Team,1.1,,,1,,0.0,,,0.0
2017-04-29,2017,zodc-zuidenveld-tour,gc,Destil - Jo Piels Cycling Team,1.2,,0,0,,0.0,,,45.0
2018-08-05,2018,antwerpse-havenpijl,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,20.0
2018-04-21,2018,arno-wallaard-memorial,gc,DESTIL - Parkhotel Valkenburg,1.2,,,1,,0.0,,,23.0
2018-04-28,2018,carpathia-couriers-paths,gc,DESTIL - Parkhotel Valkenburg,2.2U,,0,0,,0.0,,,0.0
2018-05-27,2018,circuit-de-wallonie,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,0.0
2018-03-11,2018,dorpenomloop-rucphen,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,28.0
2018-06-09,2018,dwars-door-de-vlaamse-ardennen,gc,DESTIL - Parkhotel Valkenburg,1.2,,,1,,0.0,,,5.0
2018-05-09,2018,fleche-du-sud,gc,DESTIL - Parkhotel Valkenburg,2.2,7.0,5.0,1,,5.0,,,5.0
2018-06-10,2018,midden-brabant-poort-omloop,gc,DESTIL - Parkhotel Valkenburg,1.2,,,1,,0.0,,,0.0
2018-07-01,2018,nc-netherlands,gc,Parkhotel Valkenburg Cycling Team,NC,,,1,,0.0,,,0.0
2018-07-01,2018,nc-russia,gc,DESTIL - Parkhotel Valkenburg,NC,,0,0,,0.0,,,0.0
2018-06-29,2018,nc-russia-itt,gc,DESTIL - Parkhotel Valkenburg,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-spain,gc,DESTIL - Parkhotel Valkenburg,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-sweden,gc,DESTIL - Parkhotel Valkenburg,NC,,0,0,,0.0,,,20.0
2018-06-14,2018,oberosterreichrundfahrt,gc,DESTIL - Parkhotel Valkenburg,2.2,,0,0,,0.0,,,0.0
2018-09-11,2018,olympias-tour,gc,DESTIL - Parkhotel Valkenburg,2.2U,,0,0,,0.0,,,0.0
2018-05-27,2018,paris-roubaix-u23,gc,DESTIL - Parkhotel Valkenburg,1.2U,,0,0,,0.0,,,0.0
2018-05-06,2018,ringerike-gp,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,0.0
2018-08-26,2018,ronde-van-midden-nederland,gc,DESTIL - Parkhotel Valkenburg,1.2,,,1,,0.0,,,30.0
2018-05-12,2018,ronde-van-overijssel,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,0.0
2018-08-11,2018,slag-om-norg,gc,DESTIL - Parkhotel Valkenburg,1.1,,0,0,,0.0,,,3.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,DESTIL - Parkhotel Valkenburg,2.1,94.0,0.0,1,,0.0,,,0.0
2018-10-13,2018,tacx-pro-classic,gc,DESTIL - Parkhotel Valkenburg,1.1,,0,0,,0.0,,,0.0
2018-07-08,2018,tour-de-delta,gc,DESTIL - Parkhotel Valkenburg,1.2,,0,0,,0.0,,,0.0
2018-06-08,2018,tour-de-serbie,gc,DESTIL - Parkhotel Valkenburg,2.2,,0,0,,0.0,,,7.0
2018-08-07,2018,tour-of-szeklerland,gc,DESTIL - Parkhotel Valkenburg,2.2,,0,0,,30.0,,,30.0
2018-08-22,2018,veenendaal-veenendaal,gc,DESTIL - Parkhotel Valkenburg,1.1,,,1,,0.0,,,3.0
2018-03-31,2018,volta-nxt-classic,gc,DESTIL - Parkhotel Valkenburg,1.1,,,1,,0.0,,,0.0
2018-04-28,2018,zodc-zuidenveld-tour,gc,DESTIL - Parkhotel Valkenburg,1.2,,,1,,0.0,,,30.0
