date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-06-24,2018,nc-poland,gc,Team Hurom,NC,,,1,,0.0,,,31.0
2018-06-22,2018,nc-poland-itt,gc,Team Hurom,NC,,0,0,,0.0,,,0.0
2018-09-06,2018,okolo-jiznich-cech,gc,Team Hurom,2.2,32.0,0.0,1,,0.0,,,3.0
2018-09-12,2018,okolo-slovenska,gc,Team Hurom,2.1,46.0,0.0,1,,0.0,,,0.0
2018-05-11,2018,szlakiem-grodow-piastowskich,gc,Team Hurom,2.2,92.0,0.0,1,,0.0,,,1.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,Team Hurom,2.1,73.0,0.0,1,,8.0,,,22.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,Poland,2.1,,0,0,,85.0,,,99.0
2018-08-04,2018,tour-de-pologne,gc,Poland,2.UWT,98.0,0.0,1,,0.0,,,0.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Poland,1.Ncup,,0,0,,0.0,,,30.0
2018-09-29,2018,tour-of-almaty,gc,Team Hurom,2.1,,,1,,3.0,,,3.0
2018-08-01,2018,tour-of-denmark,gc,Team Hurom,2.HC,,0,0,,0.0,,,0.0
2018-06-08,2018,tour-of-malopolska,gc,Team Hurom,2.2,60.0,0.0,1,,3.0,,,11.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Poland,CC,,0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Poland,CC,,0,0,,0.0,,,5.0
2018-04-22,2018,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Team Hurom,1.2,,,1,,0.0,,,25.0
2018-03-31,2018,visegrad-4-bicycle-race-gp-slovakia,gc,Team Hurom,1.2,,,1,,0.0,,,0.0
2018-09-30,2018,world-championship,gc,Poland,WC,,0,0,,0.0,,,13.0
2018-09-26,2018,world-championship-itt,gc,Poland,WC,,0,0,,0.0,,,155.0
2019-05-22,2019,baltyk-karkonosze-tour,gc,Hurom BDC Development,2.2,40.0,0.0,1,,10.0,,,10.0
2019-07-02,2019,course-cycliste-de-solidarnosc,gc,Hurom BDC Development,2.2,,0,0,,5.0,,,5.0
2019-07-24,2019,dookola-mazowsza,gc,Hurom BDC Development,2.2,,0,0,,3.0,,,7.0
2019-06-23,2019,korona-kocich-gor,gc,Hurom BDC Development,1.2,,0,0,,0.0,,,20.0
2019-05-01,2019,memorial-andrzeja-trochanowskiego,gc,Hurom BDC Development,1.2,,,1,,0.0,,,0.0
2019-08-17,2019,memorial-henryka-lasaka,gc,Hurom BDC Development,1.2,,0,0,,0.0,,,30.0
2019-06-22,2019,memorial-im-j.-grundmanna-j-wizowskiego,gc,Hurom BDC Development,1.2,,0,0,,0.0,,,25.0
2019-05-02,2019,memorial-romana-sieminskiego,gc,Hurom BDC Development,1.2,,0,0,,0.0,,,6.0
2019-06-30,2019,nc-poland,gc,Hurom BDC Development,NC,,0,0,,0.0,,,0.0
2019-06-28,2019,nc-poland-itt,gc,Hurom BDC Development,NC,,0,0,,0.0,,,1.0
2019-08-15,2019,puchar-ministra-obrony-narodowej,gc,Hurom BDC Development,1.2,,,1,,0.0,,,43.0
2019-08-18,2019,puchar-uzdrowisk-karpackich,gc,Hurom BDC Development,1.2,,0,0,,0.0,,,5.0
2019-03-03,2019,rhodes-gp,gc,Team Hurom,1.2,,0,0,,0.0,,,0.0
2019-05-31,2019,szlakiem-walk-majora-hubala,gc,Hurom BDC Development,2.1,19.0,3.0,1,,88.0,,,88.0
2019-07-30,2019,tour-de-serbie,gc,Hurom BDC Development,2.2,72.0,0.0,1,,5.0,,,5.0
2019-08-21,2019,tour-of-denmark,gc,Hurom BDC Development,2.HC,,,1,,0.0,,,0.0
2019-05-23,2019,tour-of-estonia,gc,Hurom BDC Development,2.1,,0,0,,25.0,,,25.0
2019-06-14,2019,tour-of-malopolska,gc,Hurom BDC Development,2.2,,0,0,,15.0,,,16.0
2019-10-15,2019,tour-of-peninsula,gc,Hurom BDC Development,2.1,95.0,0.0,1,,3.0,,,3.0
2019-03-08,2019,tour-of-rhodes,gc,Team Hurom,2.2,69.0,0.0,1,,0.0,,,0.0
2019-08-07,2019,tour-of-szeklerland,gc,Hurom BDC Development,2.2,,0,0,,0.0,,,0.0
2019-05-11,2019,visegrad-4-bicycle-race-gp-hungary,gc,Hurom BDC Development,1.2,,,1,,0.0,,,0.0
2019-04-28,2019,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Hurom BDC Development,1.2,,,1,,0.0,,,3.0
2019-05-12,2019,visegrad-4-bicycle-race-gp-slovakia,gc,Hurom BDC Development,1.2,,,1,,0.0,,,0.0
